City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Bethel,US,41.3712,-73.414,62.46,30,0,13.8,clear sky
81,Vasto,IT,42.1243,14.7059,64.69,59,98,5.26,overcast clouds
82,Shevchenkove,UA,49.6959,37.1735,59.07,52,76,7.05,broken clouds
83,Dingle,PH,10.9995,122.6711,76.57,91,72,1.28,broken clouds
84,Ullapool,GB,57.8987,-5.1604,59.34,70,100,0.74,overcast clouds
85,Montepuez,MZ,-13.1256,38.9997,74.66,88,15,6.17,few clouds
86,Busselton,AU,-33.65,115.3333,58.96,91,0,8.05,clear sky
87,Thompson,CA,55.7435,-97.8558,8.76,52,75,17.27,broken clouds
88,Nome,US,64.5011,-165.4064,37.47,65,100,25.32,overcast clouds
89,El Rincon,HN,14.5833,-87.9333,69.64,47,64,2.64,broken clouds
90,Sioux Lookout,CA,50.1001,-91.917,14.07,79,100,11.5,overcast clouds
91,Airai,TL,-8.9266,125.4092,62.28,94,100,2.44,light rain
92,Obo,CF,5.3998,26.4869,77.63,67,77,8.81,broken clouds
93,Sorland,NO,67.667,12.6934,38.32,68,99,8.5,overcast clouds
94,Kijang,KR,35.2442,129.2139,51.53,59,72,10.56,broken clouds
95,Muzaffarpur,IN,26.1167,85.4,91.85,11,21,7.47,few clouds
96,Yarada,IN,17.65,83.2667,86.32,79,75,6.91,broken clouds
97,Olafsvik,IS,64.8945,-23.7142,44.71,92,100,24.02,light rain
98,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,58,99,23.58,overcast clouds
99,Qasigiannguit,GL,68.8193,-51.1922,-0.24,84,40,1.77,scattered clouds
100,Provideniya,RU,64.3833,-173.3,30.16,94,100,17.43,snow
101,Tabuk,PH,17.4189,121.4443,74.3,89,100,7.09,overcast clouds
102,East London,ZA,-33.0153,27.9116,59.94,94,75,18.41,broken clouds
103,Bredasdorp,ZA,-34.5322,20.0403,60.64,47,35,13.47,scattered clouds
104,Tasiilaq,GL,65.6145,-37.6368,33.93,99,100,10.96,snow
105,Ixtapa,MX,20.7,-105.2,81.32,28,98,2.82,overcast clouds
106,Hede,CN,33.7681,120.2517,50.05,59,100,9.28,overcast clouds
107,Kahului,US,20.8947,-156.47,72.84,75,0,8.05,clear sky
108,Torbay,CA,47.6666,-52.7314,41.88,64,40,6.91,scattered clouds
109,Bogovarovo,RU,58.9785,47.0246,32.49,80,93,10.33,overcast clouds
110,Alyangula,AU,-13.8483,136.4192,76.87,94,100,6.91,moderate rain
111,Smithers,CA,54.7804,-127.1743,17.92,93,0,3.44,clear sky
112,Port Elizabeth,ZA,-33.918,25.5701,64.69,58,20,12.66,few clouds
113,Murray Bridge,AU,-35.1167,139.2667,61.34,95,7,1.63,clear sky
114,Harper,LR,4.375,-7.7169,83.37,70,98,8.81,overcast clouds
115,Omaha,US,41.2586,-95.9378,36.16,49,0,11.5,clear sky
116,Cidreira,BR,-30.1811,-50.2056,63.0,74,100,7.99,overcast clouds
117,Bengkulu,ID,-3.8004,102.2655,78.42,85,100,3.62,overcast clouds
118,Ponta Delgada,PT,37.7333,-25.6667,61.52,94,75,9.22,broken clouds
119,Hambantota,LK,6.1241,81.1185,82.74,94,40,4.61,scattered clouds
120,Vaitape,PF,-16.5167,-151.75,81.34,72,7,15.64,light rain
