City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
306,Lima,PE,62.85,broken clouds,-12.0432,-77.0282,Hotel Kamana
308,Iracoubo,GF,81.84,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
309,Marawi,PH,68.61,broken clouds,7.9986,124.2928,Derogongan Residence
312,Mumford,GH,84.52,broken clouds,5.2618,-0.759,Spanish Villa
315,Morgantown,US,63.32,clear sky,39.6295,-79.9559,Morgantown Marriott at Waterfront Place
316,Manoel Urbano,BR,78.1,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
318,Buchs,CH,67.17,overcast clouds,47.1674,9.4779,Buchserhof
322,Imbituba,BR,70.41,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
327,San Vicente,AR,66.2,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
328,Veraval,IN,80.94,clear sky,20.9,70.3667,Lords Inn Somnath
330,Gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
331,Abu Kamal,SY,75.11,overcast clouds,34.4506,40.9171,محطة التلفاز
334,Mount Gambier,AU,60.71,mist,-37.8333,140.7667,The Commodore
336,Aksu,CN,68.22,clear sky,41.1231,80.2644,Pudong Holiday Hotel
337,Havelock,US,70.02,few clouds,34.8791,-76.9013,Sherwood Motel
338,Lufilufi,WS,76.78,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
341,Economy,US,63.01,clear sky,40.6001,-80.2248,Forest Brook Mobile Home Park
342,Faanui,PF,81.36,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
344,Padang,ID,80.65,moderate rain,-0.9492,100.3543,Mercure Padang
346,Sambava,MG,79.39,light rain,-14.2667,50.1667,Melrose
351,Balikpapan,ID,77.99,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
352,Khuzdar,PK,81.27,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
353,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
355,Istok,XK,69.66,scattered clouds,42.7808,20.4875,Hotel TROFTA
358,Chuy,UY,69.01,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
359,Ambilobe,MG,81.36,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
360,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
362,Callaguip,PH,80.37,broken clouds,18.0714,120.4867,Pangil Beach Resort
363,Agen,FR,74.55,clear sky,44.2,0.6333,Appart'City Agen Centre - Appart Hôtel
367,Masvingo,ZW,74.34,light rain,-20.0637,30.8277,River Side Lodge
372,Salamanca,ES,72.0,clear sky,40.8333,-6.0,Palacio Carrascalino
375,San Patricio,US,75.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
376,Umm Lajj,SA,78.62,clear sky,25.0213,37.2685,Moon light Furnished Units
379,Nantucket,US,60.03,overcast clouds,41.2835,-70.0995,Jared Coffin House
381,La Asuncion,VE,89.33,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
382,Bardiyah,LY,62.92,overcast clouds,31.7561,25.0865,بورتو بردية
384,Archidona,ES,63.66,clear sky,37.0965,-4.3887,Hotel Escua
386,Inirida,CO,82.44,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
387,Da Nang,VN,82.38,scattered clouds,16.0678,108.2208,Grand Mercure Danang
390,Altamira,BR,81.18,overcast clouds,-3.2033,-52.2064,Requinte Hotel
391,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
392,Matara,LK,80.6,clear sky,5.9485,80.5353,Amaloh Boutique Resort
393,Gigmoto,PH,77.86,clear sky,13.7796,124.39,Cj's Travellers Inn
400,Gweta,BW,81.14,overcast clouds,-20.1833,25.2333,Gweta Lodge
404,Alugan,PH,78.49,scattered clouds,12.2188,125.4808,JM Lodge
405,Port Keats,AU,81.5,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
406,Soure,BR,81.14,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
408,Kroya,ID,79.65,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
409,Huizhou,CN,71.64,broken clouds,23.0833,114.4,Kempinski Hotel Huizhou
412,Chicama,PE,61.34,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
413,Esfahan,IR,74.84,light rain,32.6572,51.6776,Abbasi Hotel
414,Jatai,BR,71.76,overcast clouds,-17.8814,-51.7144,Hotel Califórnia
416,Raymondville,US,79.09,overcast clouds,26.4815,-97.7831,La Quinta Inn & Suites by Wyndham Raymondville
419,Soyo,AO,79.05,moderate rain,-6.1349,12.3689,Hotel Mpampa
420,Manbij,SY,66.25,overcast clouds,36.5281,37.9549,Manbej City Hotel
421,Kloulklubed,PW,82.51,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
422,The Valley,AI,81.1,light rain,18.217,-63.0578,CeBlue Villas & Beach Resort
424,Oistins,BB,80.06,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
426,Posadas,AR,66.27,clear sky,-27.3671,-55.8961,Hotel Posadas
427,Victor Harbor,AU,61.68,scattered clouds,-35.5667,138.6167,McCracken Country Club
428,Itarema,BR,85.82,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
431,Wilmington,US,72.0,scattered clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
434,San Policarpo,PH,78.85,scattered clouds,12.1791,125.5072,Agapita M. Nicart
436,Gejiu,CN,60.24,heavy intensity rain,23.306,103.1635,Yixuanzhuang Banshan Guesthouse
437,Vredendal,ZA,75.7,clear sky,-31.6683,18.5012,Tharrakamma Guest House
438,Acari,PE,75.51,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
441,Mizan Teferi,ET,69.48,light rain,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
442,Cairns,AU,74.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
445,Mundargi,IN,83.01,overcast clouds,15.2167,75.9,Ashok Hotel Lodge Mundaragi
446,Saldanha,ZA,63.34,clear sky,-33.0117,17.9442,Blue Bay Lodge
447,Dakar,SN,85.08,clear sky,14.6937,-17.4441,Novotel Dakar
448,Miraflores,MX,70.03,broken clouds,19.2167,-98.8083,Hotel Mansión
449,Banda Aceh,ID,82.09,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
450,Sayyan,YE,70.75,clear sky,15.1718,44.3244,ملاطف ابوحورية
455,San Andres,CO,80.65,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
458,Bima,ID,77.32,overcast clouds,-8.4667,118.7167,Lambitu Hotel
459,Clifton Springs,AU,64.33,overcast clouds,-38.15,144.5667,Drysdale House Bed & Breakfast
461,Hurghada,EG,77.81,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
462,Sfantu Gheorghe,RO,66.85,clear sky,45.8667,25.7833,Hotel Park
464,Kumluca,TR,66.45,clear sky,36.3703,30.2869,TurkuazKöy
465,Ndola,ZM,72.95,overcast clouds,-12.9587,28.6366,Chabanga Lodge iSpot
466,Bloemfontein,ZA,62.44,moderate rain,-29.1211,26.214,Protea Hotel by Marriott Bloemfontein
469,Trincomalee,LK,83.71,scattered clouds,8.5711,81.2335,Welcombe Hotel
470,Loa Janan,ID,75.25,overcast clouds,-0.583,117.095,Kost bu jono
472,Samarai,PG,82.22,broken clouds,-10.6167,150.6667,Nuli Sapi
473,Keningau,MY,71.15,broken clouds,5.3378,116.1602,Sabindo Hotel
474,Khowst,AF,71.96,clear sky,33.3833,69.8833,وچه خوړه،Wacha Khwara
475,Andrews,US,69.75,clear sky,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
479,Omboue,GA,78.85,moderate rain,-1.5746,9.2618,Hotel Olako
480,San Bartolome De Tirajana,ES,65.32,few clouds,27.9248,-15.5733,Las Tirajanas
481,Caravelas,BR,82.35,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
482,Fairmont,US,63.39,clear sky,39.4851,-80.1426,Clarion Inn
483,Taltal,CL,64.65,clear sky,-25.4,-70.4833,Residencial Karime
484,Kirakira,SB,79.41,broken clouds,-10.4544,161.9205,SanBiz Lodge
485,Diamantino,BR,75.24,overcast clouds,-14.4086,-56.4461,Hotel Delta
486,Semnan,IR,74.35,broken clouds,35.5729,53.3971,Semnan Tourist Hotel
487,Ovruch,UA,61.86,overcast clouds,51.3246,28.8035,Рандеву
491,Pochutla,MX,85.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
496,Maldonado,UY,65.59,overcast clouds,-34.6667,-54.9167,La Cimarrona
497,La Cruz,MX,75.76,overcast clouds,23.9167,-106.9,Jesús angel
498,Varzelandia,BR,84.7,broken clouds,-15.7014,-44.0275,Pousada Portal da Cidade
500,Luanda,AO,82.4,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
504,Vung Tau,VN,82.4,broken clouds,10.346,107.0843,Seaside Resort
508,Chardara,KZ,72.75,overcast clouds,41.2547,67.9692,Жанаргул
511,Ahome,MX,66.15,overcast clouds,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
513,Karratha,AU,84.78,moderate rain,-20.7377,116.8463,ibis Styles Karratha
514,Meulaboh,ID,79.39,overcast clouds,4.1363,96.1285,Kost Pria
515,Kathmandu,NP,73.62,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
516,Nanakuli,US,73.35,clear sky,21.3906,-158.1547,Camp Pālehua
519,Newport,GB,69.67,clear sky,51.5877,-2.9984,ibis budget Newport
520,Ampanihy,MG,82.76,light rain,-24.7,44.75,Angora Hotel
522,Serenje,ZM,70.41,broken clouds,-13.2325,30.2352,The Kabaso's
525,Palmer,US,62.49,few clouds,42.1584,-72.3287,Wedgewood Motel
527,Mae Chan,TH,84.24,scattered clouds,20.1467,99.8526,Kiang Dao Resort
528,Marcon,FR,73.38,overcast clouds,47.7106,0.511,Chambres d'hotes du Port Gautier
529,Necochea,AR,63.34,clear sky,-38.5473,-58.7368,dyd -mar Hotel
530,Carutapera,BR,80.98,light rain,-1.195,-46.02,Lidera
532,El Seibo,DO,84.56,clear sky,18.7641,-69.0375,Defensa Civil del Seibo
533,Flinders,AU,60.19,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
534,Mao,ES,63.16,clear sky,39.8885,4.2658,ARTIEM Capri
535,Calca,PE,63.75,broken clouds,-13.3333,-71.95,Qasana Hotel Plaza Calca
538,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
539,Neropolis,BR,77.88,few clouds,-16.4064,-49.2186,Pousada Recanto do Cerrado
540,Hue,VN,80.71,few clouds,16.4667,107.6,Saigon Morin Hotel
542,Peraiyur,IN,85.64,broken clouds,9.7358,77.7896,OYO 67022 Crescent Lodge
544,Buchanan,LR,85.57,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
545,Kilis,TR,68.23,overcast clouds,36.7161,37.115,Otel Kilis Mer-tur Otel Ve Mado Cafe
547,Hamilton,US,63.88,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
549,Hit,IQ,77.07,clear sky,33.6416,42.8251,بيت ابو رباح
555,Malpe,IN,83.5,scattered clouds,13.35,74.7167,Hotel Sri Krishna Residency
557,Candido Mendes,BR,80.44,overcast clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
558,Adamas,GR,60.19,scattered clouds,36.7333,24.4333,Aphrodite of Milos
560,Mormugao,IN,83.43,overcast clouds,15.4,73.8,Coconut Creek Resort
561,Hauterive,FR,72.36,clear sky,46.0901,3.4459,Aletti Palace Hotel
562,Bonthe,SL,87.08,broken clouds,7.5264,-12.505,Bonthe Holiday Village
564,Sumter,US,82.98,broken clouds,28.7086,-82.0831,Paradise Oaks RV Resort
566,Comodoro Rivadavia,AR,69.66,clear sky,-45.8667,-67.5,Austral Hotel
567,Varna,BG,62.74,clear sky,43.2167,27.9167,Golden Tulip Varna
569,Najran,SA,90.0,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
570,Moyo,UG,68.25,heavy intensity rain,3.6609,31.7247,Amelia Guest House
571,Macae,BR,75.09,broken clouds,-22.3708,-41.7869,Golden Tulip Macaé
573,Celestun,MX,83.14,broken clouds,20.8667,-90.4,Posada Lilia
574,Viedma,AR,67.35,clear sky,-40.8135,-62.9967,Hotel Cristal
576,Richards Bay,ZA,72.23,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
577,Champerico,GT,86.54,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
578,Kupang,ID,79.77,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
579,Tonj,SS,86.56,overcast clouds,7.2737,28.6822,Lakan Hotel
580,Kavaratti,IN,83.98,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
582,Puerto Baquerizo Moreno,EC,79.79,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
585,Naze,JP,64.56,overcast clouds,28.3667,129.4833,Shishime Hotel
586,Atherton,GB,66.88,broken clouds,53.5237,-2.4935,The Mercury Motel
589,Honiara,SB,77.04,overcast clouds,-9.4333,159.95,Heritage Park Hotel
